特制梳子	2	951	100	0	0	0	-1	1	-1	0	0	0
修复神水	2	948	50	0	0	0	-1	4	-1	0	0	0
求婚戒指	2	669	500	0	0	0	-1	0	-1	0	0	0
盟重传送石	0	959	30	0	0	0	-1	1	-1	0	0	0
随机传送石	0	958	30	0	0	0	-1	3	-1	0	0	0
回城卷	0	29	1	0	0	0	-1	1	-1	0	0	0
技巧项链	2	445	500	0	0	0	-1	2	-1	0	0	0
万年雪霜	0	51	10	0	0	0	-1	0	-1	0	0	0
千里传音	2	950	500	0	0	0	-1	0	-1	0	0	0
双倍秘籍	0	981	300	0	0	0	-1	14	-1	0	0	0
金蚕丝包	2	1037	500	0	0	0	-1	33	-1	0	0	0
金条	3	46	50	0	0	0	-1	0	-1	0	0	0
祝福油	1	30	20	0	0	0	-1	0	-1	0	0	0
还魂丹	2	932	1000	0	0	0	-1	0	-1	0	0	0
千里传音(大)	2	949	1000	0	0	0	-1	0	-1	0	0	0
强效太阳水	0	40	5	0	0	0	-1	0	-1	0	0	0
疗伤药	0	43	15	0	0	0	-1	0	-1	0	0	0
混元锤	1	1332	200	0	0	0	-1	0	-1	0	0	0
沃玛教主的头角	3	1455	100	0	0	0	-1	0	-1	0	0	0
祖玛教主的头颅	3	1456	200	0	0	0	-1	0	-1	0	0	0
赤月恶魔的心脏	3	1457	300	0	0	0	-1	0	-1	0	0	0
雪域魔王的手信	3	1458	400	0	0	0	-1	0	-1	0	0	0
雷炎蛛王的手信	3	1459	500	0	0	0	-1	0	-1	0	0	0
火龙神的手信	3	1460	600	0	0	0	-1	0	-1	0	0	0
骨翼蝠王的手信	3	1461	700	0	0	0	-1	0	-1	0	0	0
圣者天魔的手信	3	1462	800	0	0	0	-1	0	-1	0	0	0
爆率卷(1.5倍)	0	1452	500	0	0	0	-1	1	-1	0	0	0
沃玛号角	2	19	500	0	0	0	-1	0	-1	0	0	0
玄铁锄	3	1324	1	0	0	0	-1	1	-1	0	0	0
强化卷礼包	1	1124	200	0	0	0	-1	0	-1	0	0	0
星级卷礼包	1	1022	200	0	0	0	-1	0	-1	0	0	0
魔血石(大)	0	1475	500	0	0	0	-1	0	-1	0	0	0
洗髓丹	1	1035	500	0	0	0	-1	0	-1	0	0	0
铭文洗练石	1	1118	80	0	0	0	-1	0	-1	0	0	0
【攻杀】修真宝石	1	1285	15000	0	0	0	-1	0	-1	0	0	0
【刺杀】修真宝石	1	1286	15000	0	0	0	-1	1	-1	0	0	0
【圆月】修真宝石	1	1287	15000	0	0	0	-1	0	-1	0	0	0
【烈火】修真宝石	1	1288	15000	0	0	0	-1	0	-1	0	0	0
【开天斩】修真宝石	1	1289	15000	0	0	0	-1	0	-1	0	0	0
【雷电】修真宝石	1	1290	15000	0	0	0	-1	0	-1	0	0	0
【疾光】修真宝石	1	1291	15000	0	0	0	-1	0	-1	0	0	0
【火墙】修真宝石	1	1292	15000	0	0	0	-1	1	-1	0	0	0
【冰咆哮】修真宝石	1	1293	15000	0	0	0	-1	0	-1	0	0	0
【魔法盾】修真宝石	1	1294	15000	0	0	0	-1	0	-1	0	0	0
【灭天火】修真宝石	1	1295	15000	0	0	0	-1	0	-1	0	0	0
【流星火雨】修真宝石	1	1296	15000	0	0	0	-1	0	-1	0	0	0
【灵魂】修真宝石	1	1297	15000	0	0	0	-1	0	-1	0	0	0
【噬血术】修真宝石	1	1298	15000	0	0	0	-1	0	-1	0	0	0
【裂神符】修真宝石	1	1299	15000	0	0	0	-1	0	-1	0	0	0
【攻击】修真宝石	1	1300	15000	0	0	0	-1	0	-1	0	0	0
【经验】修真宝石	1	1301	20000	0	0	0	-1	1	-1	0	0	0
【魔法】修真宝石	1	1302	20000	0	0	0	-1	0	-1	0	0	0
【道术】修真宝石	1	1303	20000	0	0	0	-1	0	-1	0	0	0
【敏捷】修真宝石	1	1304	20000	0	0	0	-1	0	-1	0	0	0
【生命】修真宝石	1	1305	20000	0	0	0	-1	0	-1	0	0	0
【法力】修真宝石	1	1306	20000	0	0	0	-1	0	-1	0	0	0
【准确】修真宝石	1	1307	20000	0	0	0	-1	0	-1	0	0	0
【致命】修真宝石	1	1309	20000	0	0	0	-1	0	-1	0	0	0
【吸收】修真宝石	1	1310	20000	0	0	0	-1	0	-1	0	0	0
【伤害】修真宝石	1	1311	20000	0	0	0	-1	0	-1	0	0	0
【防御】修真宝石	1	1312	20000	0	0	0	-1	0	-1	0	0	0
【魔御】修真宝石	1	1313	20000	0	0	0	-1	0	-1	0	0	0
新手宝宝召唤卷	2	1006	1	0	0	0	-1	4	-1	0	0	0
会员卡	0	1018	20000	0	0	0	-1	1	-1	0	0	0
魂炼石	0	752	3000	0	0	0	-1	0	-1	0	0	0
